,code
0,"// C program to demonstrate printing of// our own name using printf()#include <stdio.h>  int main(){    // print name    printf(""Name : GeeksforGeeks"");    return 0;}"
1,"// C program to add two numbers#include <stdio.h>  int main(){    int A, B, sum = 0;      // Ask user to enter the two numbers    printf(""Enter two numbers A and B : \n"");      // Read two numbers from the user || A = 2, B = 3    scanf(""%d%d"", &A, &B);      // Calculate the addition of A and B    // using '+' operator    sum = A + B;      // Print the sum    printf(""Sum of A and B is: %d"", sum);      return 0;}"
2,"// C Program to check for prime number using Naive Approach#include <stdio.h>  // Function to check prime numbervoid checkPrime(int N){    // initially, flag is set to true or 1    int flag = 1;      // loop to iterate through 2 to N/2    for (int i = 2; i <= N / 2; i++) {          // if N is perfectly divisible by i        // flag is set to 0 i.e false        if (N % i == 0) {            flag = 0;            break;        }    }      if (flag) {        printf(""The number %d is a Prime Number\n"", N);    }    else {        printf(""The number %d is not a Prime Number\n"", N);    }      return;}  // driver codeint main(){    int N = 546;      checkPrime(N);      return 0;}"
3,"// C program to multiply two floating point numbers#include <stdio.h>  int main(){    float A, B, product = 0.0f;      // Ask user to enter the two numbers    printf(""Enter two floating numbers A and B : \n"");      // Read two numbers from the user || A = 2.12, B = 3.88    scanf(""%f%f"", &A, &B);      // Calculate the multiplication of A and B    // using '*' operator    product = A * B;      // Print the product    printf(""Product of A and B is: %f"", product);      return 0;}"
4,"// C program to print// ASCII Value of Character#include <stdio.h>  // Driver codeint main(){    char c = 'k';      // %d displays the integer value of     // a character     // %c displays the actual character    printf(""The ASCII value of %c is %d"",             c, c);    return 0;}"
5,"// C Program to convert// Fahrenheit to Celsuis#include <stdio.h> // Function to convert Degree// Fahrenheit to Degree Celsuisfloat fahrenheit_to_celsius(float f){  return ((f - 32.0) * 5.0 / 9.0);} // Driver codeint main(){  float f = 40;   // Passing parameter to function  printf(""Temperature in Degree Celsius : %0.2f"",          fahrenheit_to_celsius(f));  return 0;}"
6,"Data TypeMemory (bytes)RangeFormat Specifiershort int2-32,768 to 32,767%hd"
7,"// C program to demonstrate// addition of complex numbers#include <stdio.h> // define a structure for complex numbertypedef struct complexNumber {    int real;    int img;} complex; // complex add(complex x, complex y) function C Program to// Add Two Complex numbers. This function accepts two// complex type numbers as parameter as return addition of// them.complex add(complex x, complex y); // driver codeint main(){     // define three complex type numbers    complex a, b, sum;     // first complex number    a.real = 2;    a.img = 3;     // second complex number    b.real = 4;    b.img = 5;     // print first complex number    printf(""\n a = %d + %di"", a.real, a.img);     // print second complex number    printf(""\n b = %d + %di"", b.real, b.img);     // call add(a,b) function and    // pass complex numbers a & b    // as an parameter.    sum = add(a, b);     // print result    printf(""\n sum = %d + %di"", sum.real, sum.img);     return 0;} // complex add(complex x, complex y)// function definitioncomplex add(complex x, complex y){     // define a new complex number.    complex add;     // add real part of a&b    add.real = x.real + y.real;     // add Imaginary part of a&b    add.img = x.img + y.img;     // return add    return (add);}"
8,"// C program to display Prime numbers till N #include <stdbool.h>#include <stdio.h> // This function is to check// if a given number is primebool isPrime(int n){    // since 0 and 1 is not prime    // number return false.    if (n == 1 || n == 0)        return false;     // Run a loop from 2 to n-1    for (int i = 2; i < n; i++) {               // if the number is divisible by i, then n is not a        // prime number, otherwise n is prime number.        if (n % i == 0)            return false;    }    return true;} // Driver codeint main(){    int N = 10;     // check for the every number from 1 to N    for (int i = 1; i <= N; i++) {               // check if i (current number) is prime        if (isPrime(i)) {            printf(""%d "", i);        }    }    return 0;}"
9,"// C program to demonstrate the// area and perimeter of rectangle#include <stdio.h> int main(){     int l = 10, b = 10;    printf(""Area of rectangle is : %d"", l * b);    printf(""\nPerimeter of rectangle is : %d"", 2 * (l + b));    return 0;}"
