Key,Value
<PAD>,0
<START>,1
<STOP>,2
"
",3
!,4
#,5
$,6
%,7
&,8
',9
(,10
),11
*,12
+,13
",",14
-,15
.,16
/,17
0123456789abcdef,18
0f,19
1000000007u,20
10e9,21
10ll,22
10ull,23
1L,24
1LL,25
1UL,26
1ULL,27
1e,28
1e10,29
1e14,30
1e4,31
1e5,32
1e6,33
1e9,34
1u,35
2147483648LL,36
248115287320373657LL,37
26LL,38
2e5,39
2e9,40
2ll,41
:,42
;,43
<,44
<CNUM>,45
<STRING_0>,46
<STRING_10>,47
<STRING_11>,48
<STRING_12>,49
<STRING_13>,50
<STRING_14>,51
<STRING_15>,52
<STRING_16>,53
<STRING_17>,54
<STRING_18>,55
<STRING_19>,56
<STRING_1>,57
<STRING_20>,58
<STRING_21>,59
<STRING_22>,60
<STRING_23>,61
<STRING_24>,62
<STRING_25>,63
<STRING_26>,64
<STRING_27>,65
<STRING_2>,66
<STRING_3>,67
<STRING_4>,68
<STRING_5>,69
<STRING_6>,70
<STRING_7>,71
<STRING_8>,72
<STRING_9>,73
=,74
>,75
?,76
@,77
A,78
AEIOUaeiou,79
ANIMAL_STYLE,80
Apr,81
Aug,82
B,83
Billion,84
Bronze,85
Buzz,86
C,87
CC,88
CCC,89
CD,90
CM,91
CalcRobNotRob,92
Card,93
Count,94
D,95
DC,96
DCC,97
DCCC,98
Data,99
Dec,100
E,101
EXIT_FAILURE,102
East,103
Eight,104
Eighteen,105
Eighty,106
Eleven,107
F,108
FROM,109
Feb,110
Fifteen,111
Fifty,112
Five,113
Fizz,114
FizzBuzz,115
Forty,116
Four,117
Fourteen,118
Friday,119
G,120
Gold,121
H,122
HERE,123
Heap,124
High,125
Hundred,126
I,127
II,128
III,129
INFINITY,130
INT32_MAX,131
INT32_MIN,132
IPv4,133
IPv6,134
IV,135
IX,136
Infinite,137
InsertAtEnd,138
J,139
Jan,140
Jul,141
Jun,142
K,143
Kind,144
L,145
LLRotation,146
LOG,147
LX,148
LXX,149
LXXX,150
M,151
MDCLXVI,152
MM,153
MMM,154
M_func_2_cut,155
Mar,156
May,157
Medal,158
Million,159
Monday,160
N,161
NULL,162
N_func_2_cut,163
Neither,164
NestedInteger,165
NestedIntegerAdd,166
NestedIntegerGetInteger,167
NestedIntegerGetList,168
NestedIntegerGetListSize,169
NestedIntegerInit,170
NestedIntegerIsInteger,171
NestedIntegerSetInteger,172
Nine,173
Nineteen,174
Ninety,175
No,176
Node,177
North,178
Nov,179
NumArray,180
O,181
ORIGINAL,182
Oct,183
One,184
P,185
Plant,186
Pop,187
Push,188
Q,189
Quadrillion,190
R,191
RECTIFICATION,192
S,193
SIZE_MAX,194
STACK_COUNT,195
STACK_EMPTY,196
STACK_POP,197
STACK_PUSH,198
Saturday,199
Sep,200
Seven,201
Seventeen,202
Seventy,203
Silver,204
Six,205
Sixteen,206
Sixty,207
Solution,208
South,209
Sunday,210
T,211
TWENTY,212
Ten,213
Thirteen,214
Thirty,215
Thousand,216
Three,217
Thursday,218
TreeNode,219
Trillion,220
Tuesday,221
Twelve,222
Twenty,223
Two,224
U,225
UINT32_C,226
V,227
VI,228
VII,229
VIII,230
W,231
Wednesday,232
West,233
X,234
XC,235
XL,236
XX,237
XXX,238
Y,239
Z,240
Zero,241
[,242
\,243
],244
^,245
_,246
__ATOMIC_SEQ_CST,247
__INT_MAX__,248
__atomic_fetch_add,249
__attribute__,250
__builtin_clz,251
__builtin_ctz,252
__builtin_mul_overflow,253
__builtin_popcount,254
__builtin_popcountll,255
__func_1,256
__func_2,257
__gcd,258
_arr,259
_data,260
_date,261
_func_1,262
_node,263
_node_trace,264
_que,265
a,266
abc,267
