Key,Value
<PAD>,0
<START>,1
<STOP>,2
<UNK>,3
"
",4
!,5
#,6
$,7
%,8
&,9
',10
(,11
),12
*,13
+,14
",",15
-,16
.,17
/,18
0123456789abcdef,19
0f,20
1000000007u,21
10e9,22
10ll,23
10ull,24
1L,25
1LL,26
1UL,27
1ULL,28
1e,29
1e10,30
1e14,31
1e4,32
1e5,33
1e6,34
1e9,35
1ll,36
1u,37
2147483648LL,38
248115287320373657LL,39
26LL,40
2e5,41
2e9,42
2ll,43
:,44
;,45
<,46
<CNUM>,47
<NUMBER_0>,48
<NUMBER_10>,49
<NUMBER_11>,50
<NUMBER_12>,51
<NUMBER_13>,52
<NUMBER_14>,53
<NUMBER_15>,54
<NUMBER_16>,55
<NUMBER_17>,56
<NUMBER_18>,57
<NUMBER_19>,58
<NUMBER_1>,59
<NUMBER_20>,60
<NUMBER_21>,61
<NUMBER_22>,62
<NUMBER_29>,63
<NUMBER_2>,64
<NUMBER_3>,65
<NUMBER_4>,66
<NUMBER_5>,67
<NUMBER_6>,68
<NUMBER_7>,69
<NUMBER_8>,70
<NUMBER_9>,71
<STRING_0>,72
<STRING_10>,73
<STRING_11>,74
<STRING_12>,75
<STRING_13>,76
<STRING_14>,77
<STRING_15>,78
<STRING_16>,79
<STRING_17>,80
<STRING_18>,81
<STRING_19>,82
<STRING_1>,83
<STRING_20>,84
<STRING_21>,85
<STRING_22>,86
<STRING_23>,87
<STRING_24>,88
<STRING_25>,89
<STRING_26>,90
<STRING_27>,91
<STRING_2>,92
<STRING_3>,93
<STRING_4>,94
<STRING_5>,95
<STRING_6>,96
<STRING_7>,97
<STRING_8>,98
<STRING_9>,99
=,100
>,101
?,102
@,103
A,104
A1,105
A2,106
A3,107
A4,108
AEIOUaeiou,109
ASize,110
Apr,111
Aug,112
B,113
BSize,114
Billion,115
Bronze,116
Bubble_Sort,117
Buzz,118
C,119
CC,120
CCC,121
CD,122
CM,123
CSize,124
CalcRobNotRob,125
Card,126
Count,127
D,128
DC,129
DCC,130
DCCC,131
DSize,132
Data,133
Dec,134
E,135
EXIT_FAILURE,136
East,137
Eight,138
Eighteen,139
Eighty,140
Eleven,141
F,142
FROM,143
Feb,144
Fifteen,145
Fifty,146
Five,147
Fizz,148
FizzBuzz,149
Forty,150
Four,151
Fourteen,152
Friday,153
G,154
Gold,155
H,156
H1,157
H2,158
HERE,159
Hi,160
High,161
Hundred,162
I,163
II,164
III,165
INFINITY,166
INT32_MAX,167
INT32_MIN,168
INT_MAX,169
INT_MIN,170
IPv4,171
IPv6,172
IV,173
IX,174
Idx,175
Infinite,176
Insert,177
InsertAtEnd,178
J,179
Jan,180
Jul,181
Jun,182
K,183
Kind,184
L,185
L2,186
LLRotation,187
LOG,188
LX,189
LXX,190
LXXX,191
Lo,192
M,193
MDCLXVI,194
MM,195
MMM,196
M_PI,197
Mar,198
May,199
Medal,200
Million,201
Monday,202
N,203
N1,204
N2,205
NULL,206
Neither,207
NestedInteger,208
NestedIntegerAdd,209
NestedIntegerGetInteger,210
NestedIntegerGetList,211
NestedIntegerGetListSize,212
NestedIntegerInit,213
NestedIntegerIsInteger,214
NestedIntegerSetInteger,215
Nine,216
Nineteen,217
Ninety,218
No,219
North,220
Nov,221
NumArray,222
O,223
ORIGINAL,224
Oct,225
One,226
P,227
Pair,228
Pair_,229
Partition,230
Pop,231
Push,232
Q,233
QSort,234
Quadrillion,235
Queue,236
R,237
RAND_MAX,238
RECTIFICATION,239
S,240
SIZE_MAX,241
STACK_COUNT,242
STACK_EMPTY,243
STACK_POP,244
STACK_PUSH,245
Saturday,246
Sep,247
Seven,248
Seventeen,249
Seventy,250
Silver,251
Six,252
Sixteen,253
