Key,Value
<PAD>,0
<START>,1
<STOP>,2
<UNK>,3
!,4
#,5
$,6
%,7
&,8
',9
(,10
),11
*,12
+,13
",",14
-,15
.,16
/,17
:,18
;,19
<,20
<CNUM>,21
<NUMBER_0>,22
<NUMBER_10>,23
<NUMBER_11>,24
<NUMBER_12>,25
<NUMBER_13>,26
<NUMBER_14>,27
<NUMBER_15>,28
<NUMBER_16>,29
<NUMBER_17>,30
<NUMBER_18>,31
<NUMBER_19>,32
<NUMBER_1>,33
<NUMBER_20>,34
<NUMBER_21>,35
<NUMBER_22>,36
<NUMBER_29>,37
<NUMBER_2>,38
<NUMBER_3>,39
<NUMBER_4>,40
<NUMBER_5>,41
<NUMBER_6>,42
<NUMBER_7>,43
<NUMBER_8>,44
<NUMBER_9>,45
<STRING_0>,46
<STRING_10>,47
<STRING_11>,48
<STRING_12>,49
<STRING_13>,50
<STRING_14>,51
<STRING_15>,52
<STRING_16>,53
<STRING_17>,54
<STRING_18>,55
<STRING_19>,56
<STRING_1>,57
<STRING_20>,58
<STRING_21>,59
<STRING_22>,60
<STRING_23>,61
<STRING_24>,62
<STRING_25>,63
<STRING_26>,64
<STRING_27>,65
<STRING_2>,66
<STRING_3>,67
<STRING_4>,68
<STRING_5>,69
<STRING_6>,70
<STRING_7>,71
<STRING_8>,72
<STRING_9>,73
=,74
>,75
?,76
@,77
A,78
B,79
C,80
CD,81
D,82
DC,83
E,84
EXIT_FAILURE,85
F,86
FROM,87
G,88
H,89
HERE,90
I,91
II,92
III,93
INFINITY,94
INT32_MAX,95
INT32_MIN,96
INT_MAX,97
INT_MIN,98
J,99
K,100
L,101
LOG,102
M,103
M_PI,104
N,105
NULL,106
Neither,107
No,108
O,109
ORIGINAL,110
P,111
Q,112
R,113
RAND_MAX,114
S,115
SIZE_MAX,116
STACK_COUNT,117
STACK_EMPTY,118
STACK_POP,119
STACK_PUSH,120
T,121
U,122
UINT32_C,123
V,124
W,125
X,126
Y,127
Z,128
[,129
\,130
],131
^,132
_,133
__ATOMIC_SEQ_CST,134
__INT_MAX__,135
__asm__,136
__atomic_fetch_add,137
__attribute__,138
__builtin_clz,139
__builtin_ctz,140
__builtin_mul_overflow,141
__builtin_popcount,142
__builtin_popcountll,143
__gcd,144
a,145
abs,146
aligned,147
alloca,148
arr,149
assert,150
atoi,151
atol,152
atoll,153
auto,154
b,155
bool,156
break,157
bsearch,158
bzero,159
c,160
calloc,161
cannot,162
case,163
ceil,164
char,165
cmovg,166
cmp,167
cmpfunc,168
cmpl,169
const,170
continue,171
copy_arr,172
cos,173
count,174
d,175
debug,176
def,177
default,178
deposit,179
do,180
double,181
e,182
else,183
endif,184
enum,185
exit,186
f,187
fabs,188
false,189
float,190
floor,191
fmax,192
fmaxl,193
fmin,194
fminl,195
for,196
free,197
func_1,198
func_10,199
func_11,200
func_12,201
func_13,202
func_14,203
func_15,204
func_16,205
func_2,206
func_20,207
func_3,208
func_4,209
func_5,210
func_6,211
func_7,212
func_8,213
func_9,214
g,215
goto,216
guess,217
h,218
i,219
if,220
ifdef,221
inline,222
inorder,223
insertion,224
int,225
int64_t,226
int8_t,227
isalnum,228
isalpha,229
isdigit,230
islower,231
isnum,232
issign,233
isspace,234
isupper,235
isxdigit,236
j,237
k,238
l,239
llabs,240
log,241
log10,242
log2,243
long,244
m,245
malloc,246
max,247
maximum,248
memcmp,249
memcpy,250
memmove,251
memory,252
memset,253
min,254
n,255
null,256
o,257
out,258
p,259
perror,260
pow,261
process,262
push,263
puts,264
q,265
qsort,266
quick_sort,267
r,268
rand,269
random,270
realloc,271
register,272
return,273
reverse_arr,274
round,275
s,276
scanf,277
sched_yield,278
short,279
signed,280
sin,281
size_t,282
sizeof,283
solution,284
solutions,285
sqrt,286
srand,287
sscanf,288
ssize_t,289
static,290
strcasecmp,291
strcat,292
strchr,293
strcmp,294
strcpy,295
strdup,296
strlen,297
strncat,298
strncmp,299
strncpy,300
strpbrk,301
strsep,302
strspn,303
strstr,304
strtok,305
strtok_r,306
strtol,307
strtoul,308
struct,309
struct_1,310
struct_2,311
struct_3,312
struct_4,313
struct_5,314
struct_6,315
sum,316
swap,317
swap_int,318
swap_ints,319
switch,320
t,321
target,322
time,323
tolower,324
toupper,325
true,326
typedef,327
u,328
uint,329
uint16_t,330
uint32_t,331
uint64_t,332
uint8_t,333
union,334
unsigned,335
usleep,336
v,337
valid,338
var_0,339
var_1,340
var_10,341
var_11,342
var_12,343
var_13,344
var_14,345
var_15,346
var_16,347
var_17,348
var_18,349
var_19,350
var_2,351
var_20,352
var_21,353
var_22,354
var_23,355
var_24,356
var_25,357
var_26,358
var_27,359
var_28,360
var_29,361
var_3,362
var_30,363
var_31,364
var_32,365
var_33,366
var_34,367
var_35,368
var_36,369
var_37,370
var_38,371
var_39,372
var_4,373
var_40,374
var_41,375
var_42,376
var_43,377
var_44,378
var_45,379
var_46,380
var_47,381
var_48,382
var_49,383
var_5,384
var_50,385
var_51,386
var_52,387
var_53,388
var_54,389
var_55,390
var_56,391
var_57,392
var_58,393
var_6,394
var_7,395
var_8,396
var_9,397
void,398
volatile,399
w,400
while,401
withdraw,402
x,403
y,404
z,405
{,406
|,407
},408
~,409
,410
