,question,link,code
0,two-sum,https://leetcode.com/problems/two-sum/solutions/3279247/accepted-o-n-2-java-c-solution/,"class Solution {
    public int[] twoSum(int[] nums, int target) {
        final int N = nums.length;
        int[] A = new int[2];
        for(int i=0;i<N; i++){  // Valid answer must be there before end of loop
            for(int j=i+1; j < N; j++){
                if(nums[i] + nums[j] == target){
                    A[0] = i; A[1] = j;
                    return A;
                }
            }
        }
        return A;
    }
}"
1,two-sum,https://leetcode.com/problems/two-sum/solutions/3279247/accepted-o-n-2-java-c-solution/,"/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
int* twoSum(int* nums, int  N, int target, int* returnSize){
    int *arr = malloc(2*sizeof(int));
    *returnSize = 2;
    for(int i=0; i < N-1; i++){
        for(int j=i+1; j < N; j++){
            if(nums[i] + nums[j] == target){
                arr[0] = i; arr[1] = j;
                return arr;
            }
        }
    }
    return arr;
}"
2,two-sum,https://leetcode.com/problems/two-sum/solutions/2707360/multiple-approaches-explained-with-diagrams-two-sum-c-implementations/,"class Solution {
public:
    vector<int> twoSum(vector<int>& nums, int target) {
        int n = nums.size();
        
        for (int i = 0; i < n; i++) {
            /* for each element nums[i], go through the whole array
               again to see if there is an element target - nums[i] at
               an index other than i
            */
            for (int j = 0; j < n; j++) {
                if (i != j && nums[i] + nums[j] == target) {
                    // found the pair
                    return {i, j};
                }
            }
        }
        
        return {};
    }
};"
3,two-sum,https://leetcode.com/problems/two-sum/solutions/2707360/multiple-approaches-explained-with-diagrams-two-sum-c-implementations/,"								 i
							     |
                         nums = [3, 4, 6]
								       |
									   j"
4,two-sum,https://leetcode.com/problems/two-sum/solutions/2707360/multiple-approaches-explained-with-diagrams-two-sum-c-implementations/,"								 j
							     |
                         nums = [3, 4, 6]
								       |
									   i"
5,two-sum,https://leetcode.com/problems/two-sum/solutions/2707360/multiple-approaches-explained-with-diagrams-two-sum-c-implementations/,"class Solution {
public:
    vector<int> twoSum(vector<int>& nums, int target) {
        int n = nums.size();
        
        for (int i = 0; i < n; i++) {
            for (int j = i+1; j < n; j++) {
                /* since we start checking from index i+1, we don't
                   need to do i != j check inside the if condition
                */
                if (nums[i] + nums[j] == target) {
                    return {i, j};
                }
            }
        }
        
        return {};
    }
};"
6,two-sum,https://leetcode.com/problems/two-sum/solutions/2707360/multiple-approaches-explained-with-diagrams-two-sum-c-implementations/,"Question:
We can find if an element exists in the array by using binary search. But what
about the indices of the pair of elements? We have to again linearly search for
the indices of these elements right?

Answer:
True. But there is an alternative. We can form a nested list in which each element 
would have two elements. The first one being the element itself and the other the 
index of this element. We can sort this list before doing binary search. This way, 
when we find the correct pair, we can just directly return the indices."
7,two-sum,https://leetcode.com/problems/two-sum/solutions/2707360/multiple-approaches-explained-with-diagrams-two-sum-c-implementations/,"class Solution {
public:
    /* This function returns (true, index) if element is found otherwise
       it returns (false, -1)
    */
    std::pair<bool,int> binary_search(std::vector<std::pair<int,int>>& a, int ind, int key) {
        int i = 0, j = ind - 1;
        while (i <= j) {
            int m = (i + j) / 2;
            if (a[m].first == key) {
                return std::make_pair(true, a[m].second);
            } else if (a[m].first < key) {
                i = m + 1;
            } else {
                j = m - 1;
            }
        }
        return std::make_pair(false, -1);
    }
    
    
    vector<int> twoSum(vector<int>& nums, int target) {
        int n = nums.size();
        
        // Making the nested list
        std::vector<std::pair<int,int>> a {};
        for (int i = 0; i < n; i++) {
            a.push_back(std::make_pair(nums[i], i));
        }
        
        // Sorting the array so that binary search can be used
        std::sort(a.begin(), a.end());
        
        // Finding the pair using binary search
        for (int i = 0; i < n; i++) {
            int key = target - a[i].first;
            std::pair<bool,int> res = binary_search(a, i, key);
            
            // found the pair
            if (res.first == true) {
                return {a[i].second, res.second};
            }
        }
        
        /* This is written to avoid the compiler warning of not returning 
           anything from the function which has a return type of vector<int>
        */
        return {};
    }
};"
8,two-sum,https://leetcode.com/problems/two-sum/solutions/2707360/multiple-approaches-explained-with-diagrams-two-sum-c-implementations/,"								 i
							     |
                         nums = [1, 3, 6, 9, 10]
											  |
										      j"
9,two-sum,https://leetcode.com/problems/two-sum/solutions/2707360/multiple-approaches-explained-with-diagrams-two-sum-c-implementations/,"								 i
							     |
                         nums = [1, 3, 6, 9, 10]
											  |
										      j"
